"municip_name","municip_number","score_mcp","reliability_eco_mcp","reliability_chem_mcp"
"Alstahaug",1820,83.4782095123327,33.3333333333333,0
"Alta",2012,53.2702640482091,26,4
"Andøy",1871,87.2376864984298,7.14285714285714,0
"Ballangen",1854,75,15.7894736842105,15.7894736842105
"Balsfjord",1933,74.7772316552719,16.6666666666667,0
"Båtsfjord",2028,74.9870148841641,30,30
"Berg",1929,94.7428035281332,15,5.55555555555556
"Berlevåg",2024,75,0,0
"Bindal",1811,88.9426629987412,26.0869565217391,0
"Bø",1867,78.0995070782112,4.16666666666667,4.54545454545455
"Bodø",1804,85.3499238734724,25,12.1212121212121
"Brønnøy",1813,92.7630701049326,12.5,0
"Dønna",1827,85.626459894596,47.0588235294118,0
"Dyrøy",1926,99.587309123623,33.3333333333333,0
"Evenes",1853,75,33.3333333333333,66.6666666666667
"Fauske",1841,77.925634040794,60,0
"Flakstad",1859,98.1172865886461,36.6666666666667,0
"Gamvik",2023,72.8381459055515,25,0
"Gildeskål",1838,83.1530787589994,17.3913043478261,9.52380952380952
"Gratangen",1919,87.5573664853443,16.6666666666667,0
"Hadsel",1866,78.1608848272582,6.66666666666667,3.57142857142857
"Hamarøy",1849,75,19.047619047619,4.76190476190476
"Hammerfest",2004,75.0342885605549,8.33333333333333,5
"Hasvik",2015,74.8570846514299,11.3636363636364,11.3636363636364
"Hemnes",1832,76.7122936761759,64.2857142857143,28.5714285714286
"Herøy",1818,89.947153982143,61.5384615384615,0
"Ibestad",1917,96.4256602822258,41.6666666666667,16.6666666666667
"Kåfjord",1940,81.604409945243,16.6666666666667,0
"Karlsøy",1936,86.2088137427386,6,0
"Kvæfjord",1911,86.2059046947382,13.3333333333333,0
"Kvænangen",1943,66.8260517918512,3.84615384615385,3.84615384615385
"Kvalsund",2017,75,27.7777777777778,11.1111111111111
"Lavangen",1920,100,50,0
"Lebesby",2022,69.061462263512,30,0
"Leirfjord",1822,83.6782195587411,30.7692307692308,15.3846153846154
"Lenvik",1931,86.5441274350601,8,0
"Lødingen",1851,74.9853703115309,29.1666666666667,27.2727272727273
"Loppa",2014,75,16.6666666666667,3.33333333333333
"Lurøy",1834,93.2548014385026,29.4117647058824,0
"Lyngen",1938,81.4889870140806,5,0
"Målselv",1924,75,0,0
"Måsøy",2018,75,7.57575757575758,1.51515151515152
"Meløy",1837,92.7577354741311,25.9259259259259,4
"Moskenes",1874,99.3936810887629,22.2222222222222,0
"Narvik",1805,70.7279099096344,33.3333333333333,44.4444444444444
"Nesna",1828,80.3914443974103,44.4444444444444,0
"Nesseby",2027,75,16.6666666666667,0
"Nordkapp",2019,74.2922299284017,14.7058823529412,5.88235294117647
"Nordreisa",1942,75,4.54545454545455,0
"Øksnes",1868,83.5215311317911,6.52173913043478,0
"Porsanger",2020,75,0,0
"Rana",1833,63.7951299790027,58.3333333333333,20
"Rødøy",1836,92.1196055803207,20.8333333333333,0
"Røst",1856,99.9969373256027,42.8571428571429,14.2857142857143
"Salangen",1923,93.1228832260278,33.3333333333333,16.6666666666667
"Saltdal",1840,75,100,0
"Skånland",1913,83.330105295264,38.8888888888889,0
"Skjervøy",1941,77.2609168765777,16.6666666666667,3.57142857142857
"Sømna",1812,95.3998212233352,7.69230769230769,0
"Sør-Varanger",2030,75,75,50
"Sørfold",1845,75,20,6.66666666666667
"Sørreisa",1925,92.3323310223169,0,0
"Sortland",1870,83.3188081081753,13.2352941176471,2.94117647058824
"Steigen",1848,88.7889198898265,37.5,3.7037037037037
"Storfjord",1939,75,0,0
"Tjeldsund",1852,74.4166688571965,28.5714285714286,28.5714285714286
"Torsken",1928,99.5106410688853,8.33333333333333,0
"Træna",1835,99.9894596467456,20,0
"Tranøy",1927,98.0340865716407,16.6666666666667,0
"Tromsø",1902,92.0197607419455,22.7272727272727,0
"Tysfjord",1850,66.2601355874069,23.8095238095238,33.3333333333333
"Vadsø",2003,75,66.6666666666667,33.3333333333333
"Værøy",1857,99.9247949592031,16.6666666666667,0
"Vågan",1865,86.6615503358934,16.6666666666667,5.71428571428571
"Vardø",2002,72.9504012070506,20,40
"Vefsn",1824,81.0198446949083,50,22.2222222222222
"Vega",1815,92.1009659166688,50,0
"Vestvågøy",1860,96.3814464665338,13.1578947368421,0
"Vevelstad",1816,78.5029987005626,25,0
