"water_entity_id","okologisk_potensial","kjemisk_tilstand","okologisk_palitelighetsgrad","kjemisk_palitelighetsgrad","num_status_eco","chem_status"
"tjotta_havn_0361030800-1-c","udefinert","ukjent","lav","lav",NA,NA
"sandnesvagen_0361040500-2-c","udefinert","ukjent","lav","lav",NA,NA
"sandnessjoen_havn_0361040700-2-c","darlig","ukjent","lav","lav",0,NA
"sandnessjoen_smabathavn_0361040700-4-c","udefinert","ukjent","lav","lav",NA,NA
"traena_havn_sor_0362000030-1-c","udefinert","ukjent","lav","lav",NA,NA
"ranfjorden_-_mo_0362011000-2-c","moderat","darlig","hoy","hoy",25,0
"lovund_havn_0362020100-1-c","moderat","ukjent","middels","lav",25,NA
"bolga_havn_0362040200-1-c","udefinert","ukjent","lav","lav",NA,NA
"reipa(kobbsteinan)_0362041000-3-c","udefinert","ukjent","lav","lav",NA,NA
"stamsund_havn_0363000030-11-c","udefinert","ukjent","lav","lav",NA,NA
"moskenesvagen_0363000030-2-c","moderat","ukjent","middels","lav",25,NA
"ballstad_0363000030-3-c","moderat","darlig","hoy","lav",25,0
"henningsvaer_havn_0363000030-8-c","moderat","ukjent","middels","lav",25,NA
"sorarnoy_havn_0363010300-4-c","udefinert","ukjent","lav","lav",NA,NA
"ertenvag_0363011000-1-c","udefinert","ukjent","lav","lav",NA,NA
"bodo_havn_0363011200-2-c","udefinert","darlig","middels","hoy",NA,0
"nordfold_havn_0363031300-3-c","udefinert","ukjent","lav","lav",NA,NA
"reine_havn_0363040200-1-c","moderat","ukjent","middels","lav",25,NA
"sundvagen_0363040600-3-c","moderat","ukjent","middels","lav",25,NA
"ramberg_havn_0363040700-4-c","moderat","darlig","hoy","hoy",25,0
"napp_0363041102-1-c","moderat","ukjent","middels","lav",25,NA
"rossnesvagen_0363050300-4-c","moderat","ukjent","middels","lav",25,NA
"sorlandsvagen_0363050300-5-c","moderat","ukjent","middels","lav",25,NA
"kabelvag_havn_0364000030-11-c","moderat","ukjent","middels","lav",25,NA
"svolvaer_0364000030-3-c","moderat","ukjent","middels","hoy",25,NA
"lodingen_havn_0364040300-5-c","udefinert","ukjent","middels","lav",NA,NA
"skrova_0364050200-9-c","moderat","ukjent","middels","lav",25,NA
"steinesjoen_0365000030-5-c","udefinert","ukjent","lav","lav",NA,NA
"hovden_havn_0365000031-1-c","udefinert","ukjent","middels","lav",NA,NA
"nyksund_0365000031-7-c","udefinert","ukjent","lav","lav",NA,NA
"andenes_0365000032-2-c","moderat","ukjent","middels","lav",25,NA
"sto_havn_0365000032-3-c","udefinert","ukjent","lav","lav",NA,NA
"nordmela_havn_0365000032-5-c","udefinert","ukjent","lav","lav",NA,NA
"bleik_havn_0365000032-7-c","udefinert","ukjent","lav","lav",NA,NA
"melbu_fiskerihavn_0365010300-3-c","moderat","ukjent","middels","lav",25,NA
"boroysundet_0365020200-2-c","moderat","ukjent","middels","lav",25,NA
"myre_havn_0365030100-2-c","moderat","ukjent","middels","lav",25,NA
"hopsvatnet_i_senjahopen_0401011700-1-c","udefinert","darlig","middels","lav",NA,0
"harstad_havneomrade_0401020500-2-c","udefinert","darlig","hoy","lav",NA,0
"tromso_indre_havn_0402020900-8-c","udefinert","darlig","middels","middels",NA,0
"torsvag_havn_0403011100-1-c","godt","god","lav","lav",50,50
"skjervoy_havn_0403040300-c","godt","darlig","hoy","hoy",50,0
